"longitude","latitude","c_tot_top","c_tot_bottom","ca_top","ca_bottom","clay_tot_psa_top","clay_tot_psa_bottom","db_od_top","db_od_bottom","ecec_f_top","ecec_f_bottom","fe_top","fe_bottom","k_top","k_bottom","mg_top","mg_bottom","n_tot_ncs_top","n_tot_ncs_bottom","oc_top","oc_bottom","p_top","p_bottom","ph_h2o_top","ph_h2o_bottom","s_top","s_bottom","sand_tot_psa_top","sand_tot_psa_bottom","silt_tot_psa_top","silt_tot_psa_bottom","texture_class_top","texture_class_bottom","SOM_top","SOM_bottom","PWP_top","PWP_bottom","FC_top","FC_bottom","SWS_top","SWS_bottom","B_0_30","Cu_0_30","K_0_30","Mn_0_30","N_0_30","P_0_30","Ptot_0_30","province","district","AEZ","alt","slope","TPI","TRI","N","P","K","refY","Yield_pred"
29.3717,-2.83,29,23.7000007629395,327,255,38.2000007629395,40.5,100.699996948242,104.599998474121,11.3999996185303,11.1000003814697,134.300003051758,47.2999992370605,112,70,98,80,282961,49818,26.8999996185303,18.3999996185303,7,6.19999980926514,4.94999980926514,4.92000007629395,8.80000019073486,5.42000007629395,35.9000015258789,34.0999984741211,25.6700000762939,25.5599994659424,"clay loam","silty clay",5.38000011444092,3.67999982833862,24.5578289031982,25.1800327301025,37.7639389038086,38.0637397766113,50.5903854370117,48.6499710083008,40,188,216,81,3402,1702,540,"Amajyepfo","Nyaruguru","Congo-Nile watershed divide",1779,7.85272857400922,16.125,20.625,0,0,0,"Very low",7.52344271152473
29.3717,-2.83,29,23.7000007629395,327,255,38.2000007629395,40.5,100.699996948242,104.599998474121,11.3999996185303,11.1000003814697,134.300003051758,47.2999992370605,112,70,98,80,282961,49818,26.8999996185303,18.3999996185303,7,6.19999980926514,4.94999980926514,4.92000007629395,8.80000019073486,5.42000007629395,35.9000015258789,34.0999984741211,25.6700000762939,25.5599994659424,"clay loam","silty clay",5.38000011444092,3.67999982833862,24.5578289031982,25.1800327301025,37.7639389038086,38.0637397766113,50.5903854370117,48.6499710083008,40,188,216,81,3402,1702,540,"Amajyepfo","Nyaruguru","Congo-Nile watershed divide",1779,7.85272857400922,16.125,20.625,0,0,0,"Low",6.94859211881139
29.3717,-2.83,29,23.7000007629395,327,255,38.2000007629395,40.5,100.699996948242,104.599998474121,11.3999996185303,11.1000003814697,134.300003051758,47.2999992370605,112,70,98,80,282961,49818,26.8999996185303,18.3999996185303,7,6.19999980926514,4.94999980926514,4.92000007629395,8.80000019073486,5.42000007629395,35.9000015258789,34.0999984741211,25.6700000762939,25.5599994659424,"clay loam","silty clay",5.38000011444092,3.67999982833862,24.5578289031982,25.1800327301025,37.7639389038086,38.0637397766113,50.5903854370117,48.6499710083008,40,188,216,81,3402,1702,540,"Amajyepfo","Nyaruguru","Congo-Nile watershed divide",1779,7.85272857400922,16.125,20.625,0,0,0,"Medium",6.27845847863663
29.3717,-2.83,29,23.7000007629395,327,255,38.2000007629395,40.5,100.699996948242,104.599998474121,11.3999996185303,11.1000003814697,134.300003051758,47.2999992370605,112,70,98,80,282961,49818,26.8999996185303,18.3999996185303,7,6.19999980926514,4.94999980926514,4.92000007629395,8.80000019073486,5.42000007629395,35.9000015258789,34.0999984741211,25.6700000762939,25.5599994659424,"clay loam","silty clay",5.38000011444092,3.67999982833862,24.5578289031982,25.1800327301025,37.7639389038086,38.0637397766113,50.5903854370117,48.6499710083008,40,188,216,81,3402,1702,540,"Amajyepfo","Nyaruguru","Congo-Nile watershed divide",1779,7.85272857400922,16.125,20.625,0,0,0,"High",15.0484325429898
29.3717,-2.83,29,23.7000007629395,327,255,38.2000007629395,40.5,100.699996948242,104.599998474121,11.3999996185303,11.1000003814697,134.300003051758,47.2999992370605,112,70,98,80,282961,49818,26.8999996185303,18.3999996185303,7,6.19999980926514,4.94999980926514,4.92000007629395,8.80000019073486,5.42000007629395,35.9000015258789,34.0999984741211,25.6700000762939,25.5599994659424,"clay loam","silty clay",5.38000011444092,3.67999982833862,24.5578289031982,25.1800327301025,37.7639389038086,38.0637397766113,50.5903854370117,48.6499710083008,40,188,216,81,3402,1702,540,"Amajyepfo","Nyaruguru","Congo-Nile watershed divide",1779,7.85272857400922,16.125,20.625,0,0,0,"Very high",16.7977227900495
29.3717,-2.82,31.3999996185303,25.5,356,279,37.7000007629395,39,100,103.400001525879,11,10.3999996185303,132.399993896484,44.5999984741211,112,70,96,79,390562,76728,28.6000003814697,20.2000007629395,7.59999990463257,7,4.98999977111816,4.96000003814697,8.80000019073486,5.42999982833862,37.0999984741211,35.4000015258789,25.6200008392334,25.3999996185303,"clay loam","sandy clay",5.72000026702881,4.03999996185303,24.4597244262695,24.531229019165,37.6703033447266,37.5210380554199,50.852352142334,48.896484375,44,182,226,73,4352,1687,699,"Amajyepfo","Nyaruguru","Congo-Nile watershed divide",1972,16.9312004832965,14.75,20.5,10,0,0,"Very low",7.38240923065818
29.3717,-2.82,31.3999996185303,25.5,356,279,37.7000007629395,39,100,103.400001525879,11,10.3999996185303,132.399993896484,44.5999984741211,112,70,96,79,390562,76728,28.6000003814697,20.2000007629395,7.59999990463257,7,4.98999977111816,4.96000003814697,8.80000019073486,5.42999982833862,37.0999984741211,35.4000015258789,25.6200008392334,25.3999996185303,"clay loam","sandy clay",5.72000026702881,4.03999996185303,24.4597244262695,24.531229019165,37.6703033447266,37.5210380554199,50.852352142334,48.896484375,44,182,226,73,4352,1687,699,"Amajyepfo","Nyaruguru","Congo-Nile watershed divide",1972,16.9312004832965,14.75,20.5,10,0,0,"Low",7.60336358769863
29.3717,-2.82,31.3999996185303,25.5,356,279,37.7000007629395,39,100,103.400001525879,11,10.3999996185303,132.399993896484,44.5999984741211,112,70,96,79,390562,76728,28.6000003814697,20.2000007629395,7.59999990463257,7,4.98999977111816,4.96000003814697,8.80000019073486,5.42999982833862,37.0999984741211,35.4000015258789,25.6200008392334,25.3999996185303,"clay loam","sandy clay",5.72000026702881,4.03999996185303,24.4597244262695,24.531229019165,37.6703033447266,37.5210380554199,50.852352142334,48.896484375,44,182,226,73,4352,1687,699,"Amajyepfo","Nyaruguru","Congo-Nile watershed divide",1972,16.9312004832965,14.75,20.5,10,0,0,"Medium",7.55957218309713
29.3717,-2.82,31.3999996185303,25.5,356,279,37.7000007629395,39,100,103.400001525879,11,10.3999996185303,132.399993896484,44.5999984741211,112,70,96,79,390562,76728,28.6000003814697,20.2000007629395,7.59999990463257,7,4.98999977111816,4.96000003814697,8.80000019073486,5.42999982833862,37.0999984741211,35.4000015258789,25.6200008392334,25.3999996185303,"clay loam","sandy clay",5.72000026702881,4.03999996185303,24.4597244262695,24.531229019165,37.6703033447266,37.5210380554199,50.852352142334,48.896484375,44,182,226,73,4352,1687,699,"Amajyepfo","Nyaruguru","Congo-Nile watershed divide",1972,16.9312004832965,14.75,20.5,10,0,0,"High",16.6940641414817
29.3717,-2.82,31.3999996185303,25.5,356,279,37.7000007629395,39,100,103.400001525879,11,10.3999996185303,132.399993896484,44.5999984741211,112,70,96,79,390562,76728,28.6000003814697,20.2000007629395,7.59999990463257,7,4.98999977111816,4.96000003814697,8.80000019073486,5.42999982833862,37.0999984741211,35.4000015258789,25.6200008392334,25.3999996185303,"clay loam","sandy clay",5.72000026702881,4.03999996185303,24.4597244262695,24.531229019165,37.6703033447266,37.5210380554199,50.852352142334,48.896484375,44,182,226,73,4352,1687,699,"Amajyepfo","Nyaruguru","Congo-Nile watershed divide",1972,16.9312004832965,14.75,20.5,10,0,0,"Very high",18.8301813741516
