"lookup_key","pkgNr","pkgCode","DAP","NPK","Urea"
"E29.5N-1.54",1,"red",166,227,269
"E29.5N-1.46",1,"red",166,227,269
"E29.66N-1.41",1,"red",166,227,269
"E29.64N-1.4",1,"red",166,227,269
"E29.13N-2.45",1,"red",166,227,269
"E29.43N-2.44",1,"red",166,227,269
"E29.25N-2.38",1,"red",166,227,269
"E29.38N-1.89",1,"red",166,227,269
"E29.48N-1.88",1,"red",166,227,269
"E29.48N-1.86",1,"red",166,227,269
"E29.48N-1.84",1,"red",166,227,269
"E29.35N-2.66",1,"red",166,227,269
"E29.39N-2.66",1,"red",166,227,269
"E29.28N-2.56",1,"red",166,227,269
"E29.34N-2.54",1,"red",166,227,269
"E29.26N-2.52",1,"red",166,227,269
"E29.28N-2.44",1,"red",166,227,269
"E29.24N-2.41",1,"red",166,227,269
"E29.32N-2.41",1,"red",166,227,269
"E29.33N-2.37",1,"red",166,227,269
"E29.33N-2.36",1,"red",166,227,269
"E29.35N-2.35",1,"red",166,227,269
"E29.36N-2.35",1,"red",166,227,269
"E29.2N-2.34",1,"red",166,227,269
"E29.21N-2.33",1,"red",166,227,269
"E29.22N-2.33",1,"red",166,227,269
"E29.22N-2.32",1,"red",166,227,269
"E29.23N-2.32",1,"red",166,227,269
"E29.34N-2.32",1,"red",166,227,269
"E29.23N-2.31",1,"red",166,227,269
"E29.33N-2.28",1,"red",166,227,269
"E29.45N-2.23",1,"red",166,227,269
"E29.38N-2.21",1,"red",166,227,269
"E29.37N-2.17",1,"red",166,227,269
"E29.43N-2.15",1,"red",166,227,269
"E29.42N-2.01",1,"red",166,227,269
"E29.49N-2.01",1,"red",166,227,269
"E29.5N-2.01",1,"red",166,227,269
"E29.59N-1.83",1,"red",166,227,269
"E29.58N-1.69",1,"red",166,227,269
"E29.61N-1.64",1,"red",166,227,269
"E29.61N-1.61",1,"red",166,227,269
"E30.06N-1.57",1,"red",166,227,269
"E30.06N-1.56",1,"red",166,227,269
"E29.9N-1.54",1,"red",166,227,269
"E29.91N-1.54",1,"red",166,227,269
"E29.36N-1.54",1,"red",166,227,269
"E29.36N-1.53",1,"red",166,227,269
"E29.88N-1.46",1,"red",166,227,269
"E29.84N-1.45",1,"red",166,227,269
"E29.75N-1.43",1,"red",166,227,269
"E29.85N-1.39",1,"red",166,227,269
"E29.34N-2.38",1,"red",166,227,269
"E29.2N-2.37",1,"red",166,227,269
"E29.37N-2.37",1,"red",166,227,269
"E29.21N-2.36",1,"red",166,227,269
"E29.44N-1.63",1,"red",166,227,269
"E29.46N-1.61",1,"red",166,227,269
"E29.41N-1.6",1,"red",166,227,269
"E29.42N-1.6",1,"red",166,227,269
"E29.47N-1.57",1,"red",166,227,269
"E29.47N-2.31",1,"red",166,227,269
"E29.26N-2.3",1,"red",166,227,269
"E29.38N-2.3",1,"red",166,227,269
"E29.39N-2.3",1,"red",166,227,269
"E29.31N-2.28",1,"red",166,227,269
